,Coefficient,Std Error,CI_Low,CI_High,t-stat,p-value,Significant,Abs
const,7.228870070332486,0.0904474598607747,7.051539434872875,7.406200705792098,79.92341721326224,0.0,***,7.228870070332486
log(Size),0.2506387888268336,0.014103781401530836,0.2229870170449976,0.2782905606086696,17.77103470985654,6.452337031374858e-68,***,0.2506387888268336
Floor Level,0.006494690143552154,0.002461984834743682,0.0016677404878176812,0.011321639799286626,2.6379895001377283,0.008374151042381806,**,0.006494690143552154
Total Floors,0.005518025192271935,0.001597527852471281,0.002385923642054509,0.008650126742489361,3.45410265225478,0.0005582055665358878,***,0.005518025192271935
BHK,0.24807443578713886,0.015141319660073415,0.21838847400168943,0.2777603975725883,16.38393755342829,2.459712387696246e-58,***,0.24807443578713886
Bathroom,0.26940447343279983,0.014862832409025315,0.24026451173703536,0.2985444351285643,18.126052021498037,1.787196298486277e-70,***,0.26940447343279983
City: Chennai,-0.06901839939923549,0.023802768307925746,-0.11568593474229186,-0.022350864056179115,-2.899595480087668,0.0037580143134371188,**,0.06901839939923549
City: Delhi,0.31216636254106744,0.027356302160461185,0.2585317944348208,0.36580093064731406,11.411131545119796,1.1218626855942559e-29,***,0.31216636254106744
City: Hyderabad,-0.1741247090787486,0.02407222021657774,-0.22132052988455445,-0.12692888827294277,-7.233429551248235,5.675121483070399e-13,***,0.1741247090787486
City: Kolkata,-0.2635759194844338,0.028609080868523994,-0.31966667646246316,-0.20748516250640447,-9.21301598942393,5.1308987804422323e-20,***,0.2635759194844338
City: Mumbai,1.0270942978653828,0.026781022246897417,0.9745876193957986,1.079600976334967,38.351571810682906,4.778080911433836e-272,***,1.0270942978653828
Furnishing: Semi-Furnished,-0.19269377835264206,0.021808272446765475,-0.23545091953951602,-0.1499366371657681,-8.83581121902307,1.495080377965453e-18,***,0.19269377835264206
Furnishing: Unfurnished,-0.3260700172978823,0.022660862699529747,-0.3704987407662497,-0.2816412938295149,-14.389126381523367,9.63107132734135e-46,***,0.3260700172978823
Tenant: Bachelors/Family,-0.12938997758133228,0.019365429730090283,-0.16735769901067293,-0.09142225615199162,-6.681492710708313,2.7119671722562385e-11,***,0.12938997758133228
Tenant: Family,-0.17841867279397974,0.029079161205764533,-0.23543106588040005,-0.12140627970755943,-6.135619646367611,9.357775899474588e-10,***,0.17841867279397974
Day: Tue,-0.02244702533292911,0.02903247608671543,-0.0793678879126859,0.03447383724682768,-0.7731695107879666,0.43947048941817646,,0.02244702533292911
Day: Wed,0.033068387711844366,0.026465227748412104,-0.01881914634862921,0.08495592177231795,1.2495032359518783,0.21155855524308284,,0.033068387711844366
Day: Thu,0.0040084895607002125,0.025511588147078358,-0.04600934559651756,0.05402632471791798,0.15712426594497503,0.8751553186479615,,0.0040084895607002125
Day: Fri,-0.0034595828317542376,0.026585652824362406,-0.05558322142491907,0.04866405576141059,-0.130129692680857,0.8964707536339305,,0.0034595828317542376
Day: Sat,0.010595949317575543,0.02665709543810862,-0.04166775914724752,0.0628596577823986,0.3974907672209373,0.6910280732208189,,0.010595949317575543
Day: Sun,0.022491346094283216,0.03197231877436026,-0.04019335079053667,0.0851760429791031,0.7034630879609465,0.4818105974637745,,0.022491346094283216
Quarter: Q3,0.08789199551259075,0.01832740454444744,0.05195941875261362,0.12382457227256788,4.795659707267112,1.6840076697647391e-06,***,0.08789199551259075
