Metric,Train,Test
R²,0.47752811066289813,0.46565123349480664
RMSE,6140.44884531793,6428.304703964952
MAE,4484.059177253681,4758.313023727286
RMSPE (%),31.943392808839988,32.20711327437681
MAPE (%),24.56486986003354,25.45631197171751
